participantId,month,total_income,total_expense,total_net,total_food_expense,total_recreation_expense,total_shelter_expense,total_education_expense,avg_availableBalance,avg_dailyFoodBudget,avg_weeklyExtraBudget,age,educationLevel,householdSize,haveKids,age_group,household_type
0,2022-03,11931.947623051652,1803.0434265876052,10128.904196464047,268.33803224508017,348.71739185677575,1109.9772433784694,76.01075910727982,5647.804674784018,12.0,2642.8468407262826,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-04,8636.880058553219,1078.2790438130826,7558.601014740137,265.8559931166964,219.42904945351154,554.9886216892347,38.00537955363991,13497.306900022599,12.0,4798.465176280248,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-05,9048.160061341468,1240.618893897516,7807.541167443953,264.6160721990713,383.00882045557023,554.9886216892347,38.00537955363991,21291.957024566404,12.0,6870.578452132816,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-06,9048.160061341468,1315.647933720256,7732.512127621212,256.97234448194627,465.6815879954353,554.9886216892347,38.00537955363991,29056.788426398234,12.0,9195.37291785812,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-07,8636.880058553219,1932.7509012017158,6704.129157351503,270.2128201318185,1069.5440798270229,554.9886216892347,38.00537955363991,36284.89415872817,12.0,10892.848289002275,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-08,9459.440064129718,1168.9743118852548,8290.465752244463,261.8386339815243,314.14167666085586,554.9886216892347,38.00537955363991,43927.68549084231,12.0,13130.651137060706,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-09,9048.160061341468,1143.759008099838,7904.4010532416305,256.118874860356,294.64613199660727,554.9886216892347,38.00537955363991,51672.998943648505,12.0,14650.357538141501,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-10,8636.880058553219,884.7441621368589,7752.13589641636,266.7352332729793,25.014927621004997,554.9886216892347,38.00537955363991,59619.516755464836,12.0,17389.98945060884,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-11,9048.160061341468,1231.5105069103747,7816.649554431094,261.07410646385847,377.44239920364157,554.9886216892347,38.00537955363991,67481.89343184054,12.0,16386.686222133994,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2022-12,9048.160061341468,1215.7733630482317,7832.386698293237,266.05510860205356,356.7242532033034,554.9886216892347,38.00537955363991,75287.19253707794,12.0,14692.634569030195,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2023-01,9048.160061341468,1067.794366678989,7980.36569466248,265.04280700986646,209.75755842624784,554.9886216892347,38.00537955363991,83248.18733324269,12.0,23911.000212213257,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2023-02,8225.600055764971,1152.0694664582015,7073.53058930677,239.11615564971478,319.95930956561193,554.9886216892347,38.00537955363991,90722.7980050155,12.0,27431.02971794336,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2023-03,9459.440064129718,999.8263843779348,8459.613679751783,260.6171926399034,146.21519049515686,554.9886216892347,38.00537955363991,98331.68728847738,12.0,28149.875121389334,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2023-04,8225.600055764971,969.3584482840348,7256.241607480936,258.13515351151966,118.2292935296405,554.9886216892347,38.00537955363991,106294.60424894253,12.0,30734.69330548388,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
0,2023-05,7403.040050188474,1022.6896119388227,6380.350438249651,207.8522298684931,221.84338082745495,554.9886216892347,38.00537955363991,113085.6664160486,12.0,23751.931854301238,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
1,2022-03,10359.02362974396,2522.8431566337067,7836.180473110254,288.9410453417226,1047.9141088062352,1109.9772433784694,76.01075910727982,4255.88165085404,12.0,1890.0699143913537,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-04,7589.638690895696,1364.961680578461,6224.677010317235,256.6327258076253,515.3349535279611,554.9886216892347,38.00537955363991,10543.90174341493,12.0,1930.9570535741789,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-05,7951.050057128824,1209.6801466292818,6741.369910499542,258.1411545581149,358.54499082829216,554.9886216892347,38.00537955363991,17157.8220271338,12.0,2792.6270869994264,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-06,7951.050057128825,1529.3556450516824,6421.694412077142,260.9881104440231,675.3735333647846,554.9886216892347,38.00537955363991,23573.715725038142,12.0,3863.5638322742766,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-07,7589.638690895696,1368.7306044141192,6220.908086481577,270.58876241228495,505.1478407589597,554.9886216892347,38.00537955363991,30052.266335640925,12.0,4531.088888847236,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-08,8312.461423361952,1301.9376760332257,7010.523747328727,270.81126747782525,438.1324073125259,554.9886216892347,38.00537955363991,36750.77998079817,12.0,5498.109948950761,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-09,7951.050057128824,1235.9703074399847,6715.079749688839,255.0209598521491,387.95534634496096,554.9886216892347,38.00537955363991,43305.7911622037,12.0,6532.734185137459,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-10,7589.638690895696,1239.735118624588,6349.903572271108,264.5909978356591,382.1501195460543,554.9886216892347,38.00537955363991,49908.24779543214,12.0,7277.107051227485,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-11,7951.050057128825,1478.7653179456524,6472.284739183173,257.84393587547555,627.9273808273023,554.9886216892347,38.00537955363991,56463.027248777114,12.0,8343.548339586137,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2022-12,7951.050057128825,1954.346954680556,5996.7031024482685,283.7909566213419,1077.5619968163396,554.9886216892347,38.00537955363991,62681.96020682679,12.0,9955.349895594343,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2023-01,7951.050057128824,1188.0116462533815,6763.038410875442,266.33480473621233,328.6828402742945,554.9886216892347,38.00537955363991,69063.51230619969,12.0,9926.38152122844,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
1,2023-02,7228.227324662567,1119.4302652798353,6108.797059382732,233.65111505790543,292.78514897905535,554.9886216892347,38.00537955363991,75491.88390563377,12.0,11421.718800983961,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
